Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité
2025/05/04 14:00:00;2025/05/04 15:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 15:00:00;2025/05/04 16:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 00:00:00;2025/05/04 01:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20029;FEYZIN STADE;Périurbaine;C6H6;Industrielle;3;Oui;estimation objective;Auto BTX app Perkinelmer C500;moyenne horaire brute;2.91;2.91;µg-m3;;;;A;1
2025/05/04 01:00:00;2025/05/04 02:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20029;FEYZIN STADE;Périurbaine;C6H6;Industrielle;3;Oui;estimation objective;Auto BTX app Perkinelmer C500;moyenne horaire brute;1.16;1.16;µg-m3;;;;A;1
2025/05/04 02:00:00;2025/05/04 03:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20029;FEYZIN STADE;Périurbaine;C6H6;Industrielle;3;Oui;estimation objective;Auto BTX app Perkinelmer C500;moyenne horaire brute;0.5;0.5;µg-m3;;;;A;1
2025/05/04 03:00:00;2025/05/04 04:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20029;FEYZIN STADE;Périurbaine;C6H6;Industrielle;3;Oui;estimation objective;Auto BTX app Perkinelmer C500;moyenne horaire brute;1.22;1.22;µg-m3;;;;A;1
2025/05/04 04:00:00;2025/05/04 05:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20029;FEYZIN STADE;Périurbaine;C6H6;Industrielle;3;Oui;estimation objective;Auto BTX app Perkinelmer C500;moyenne horaire brute;0.96;0.96;µg-m3;;;;A;1
2025/05/04 05:00:00;2025/05/04 06:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20029;FEYZIN STADE;Périurbaine;C6H6;Industrielle;3;Oui;estimation objective;Auto BTX app Perkinelmer C500;moyenne horaire brute;1.92;1.92;µg-m3;;;;A;1
2025/05/04 06:00:00;2025/05/04 07:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20029;FEYZIN STADE;Périurbaine;C6H6;Industrielle;3;Oui;estimation objective;Auto BTX app Perkinelmer C500;moyenne horaire brute;1.25;1.25;µg-m3;;;;A;1
2025/05/04 07:00:00;2025/05/04 08:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20029;FEYZIN STADE;Périurbaine;C6H6;Industrielle;3;Oui;estimation objective;Auto BTX app Perkinelmer C500;moyenne horaire brute;1.09;1.09;µg-m3;;;;A;1
